applicant_id,post_tax_annual_income,total_monthly_expenses,monthly_emi_amount,other_debts
262381,1797235.2000000002,24265,39489,50826
262384,2722243.2,16440,7667,30510
524543,1399488.0,15008,19856,56012
786691,1764412.8,30549,15672,72366
262411,46195.200000000004,45930,125,966
786701,2380233.6,27655,34901,45033
262415,1225833.6,37391,6650,49203
524560,2812377.6,29878,13036,8771
524561,1034112.0,1407,19596,1175
524563,1138828.8,37743,23175,1560
786708,1130352.0,24781,23638,24108
524571,2443411.2,18958,21431,20588
262428,1205894.4000000001,31065,22548,14701
786717,290726.4,32479,6717,10454
262429,997651.2000000001,18822,4318,5722
524577,955296.0,15386,15507,16940
524578,2192822.4,7067,44693,36542
262437,417446.4,,9399,9412
786729,388051.2,21334,8697,7364
786732,1896873.6,7393,47395,29339
786734,1716489.6,2151,33587,5356
262450,2455420.8000000003,39835,47068,94568
786740,686332.8,49174,14572,11554
524598,1451942.4000000001,25234,2626,57101
262456,2374819.2,37878,30748,33700
524604,60326.4,1487,1381,221
524608,2280144.0,6948,31592,36321
786755,2590579.2,49173,18144,18485
524613,66825.6,3822,280,601
262470,2425699.2,17557,48153,76746
786759,1018790.4,32969,4377,33955
786762,2402169.6,34066,11236,64234
524619,1651728.0,36137,9478,57593
262482,1065792.0,32409,3724,41628
786774,1754841.6,41753,43004,58514
262488,845865.6000000001,15638,13635,8597
524635,944995.2000000001,,638,32291
786782,2041113.6,7007,9006,50564
262498,585801.6,37883,8382,10179
524643,2255990.4,30790,30154,14332
524650,222940.80000000002,26244,2951,5991
524654,2171107.2,35810,35426,830
262516,1275148.8,43300,14600,248
262518,1010630.4,24691,3530,6063
524667,650016.0,21725,7252,10804
262525,2368896.0,42668,26796,35189
524670,1886534.4000000001,40259,6496,69709
524685,1527091.2000000002,2476,24422,27123
524688,985123.2000000001,,12915,11767
524692,777907.2000000001,39074,6148,31944
262549,820704.0,10563,3170,27039
524697,1035705.6000000001,31088,4011,41913
524698,814137.6000000001,9668,17267,8301
786842,2012332.8,35746,27654,30432
786849,2838067.2,13820,66120,70315
262564,149232.0,25566,587,3478
786853,895209.6000000001,34950,21919,23259
262569,702931.2000000001,39994,14244,23731
262570,2702659.2,5328,8767,95999
262578,1036310.4,13844,22189,10128
262579,2736624.0,34769,57254,91145
262586,1657305.6,6481,38250,17990
786879,1396521.6,16723,12938,43522
524736,171206.40000000002,11645,3896,4521
262597,2072745.6,35885,3336,60136
262607,2726899.2,5294,11904,101472
786901,686908.8,,656,2499
524760,2121148.8000000003,2068,2668,47835
262617,1138598.4000000001,36511,26031,11336
786904,2221353.6,12030,1198,67916
786907,2598288.0,30576,35226,39913
786918,1310073.6,33419,15441,3967
262634,2420515.2,25680,31987,56690
786923,64502.4,46929,268,2506
786925,2800531.2,22049,61723,36464
262643,2494992.0,,28729,74468
524788,1286553.6,39143,27389,21571
786939,1965446.4000000001,46624,6530,27963
786941,2731526.4000000004,35916,33355,96874
524799,983769.6000000001,7965,5102,3751
786946,1499846.4000000001,4394,26973,35395
786947,961900.8,13916,7000,3797
786950,2272060.8000000003,19203,37486,40397
786951,1928371.2000000002,27466,41177,9251
262664,1814707.2000000002,,42635,73393
524817,2333318.4,22289,47502,31777
262674,2581372.8000000003,30195,20503,53623
786969,2142662.4,8875,2735,40460
524825,1975996.8,5814,14574,57338
786971,248649.6,34223,5357,1928
786974,2340585.6,44892,55378,91615
786975,1011897.6000000001,,22777,10692
786979,748752.0,24961,6007,26401
262694,674505.6000000001,49524,2183,18945
262697,2586777.6,35710,6933,85988
786985,2169993.6,34203,2269,41281
524842,1535011.2000000002,19424,26677,44289
524845,1090713.6,9556,13679,2043
262706,222316.80000000002,12776,55,2279
262718,2819068.8000000003,40592,3456,77938
524862,2331302.4,39112,53546,22880
787008,2449593.6,,1192,64825
262722,145708.80000000002,,3068,3667
787015,1054339.2,1430,19978,37146
262727,1275043.2000000002,750,14279,10369
524874,1445510.4000000001,2086,6722,35957
524875,2592902.4000000004,40052,48303,41084
787024,2459596.8000000003,37151,2542,87701
262737,1941840.0,21837,9259,79411
787027,2805465.6,7152,18379,25569
524885,1674950.4000000001,28387,2085,20877
262742,2039337.6,10348,47408,62514
787030,854150.4,5597,4379,4437
524890,474326.4,10275,5030,7052
262750,2873788.8000000003,,18342,84469
524895,2833987.2,19988,6312,31087
787045,1725657.6,15660,21916,14550
524903,935827.2000000001,46972,6146,15122
787048,2866934.4000000004,11891,68314,47916
524905,1219104.0,27583,12844,42063
262760,2672553.6,48631,10081,72869
524907,1860652.8,30224,23804,51180
262761,128889.6,,2894,3112
787055,2856048.0,43716,47290,13521
262768,1295894.4000000001,17552,1653,31829
524913,2476435.2,35102,54311,76150
524915,1717881.6,,8893,14571
262774,2113382.4,29105,7170,9453
262775,2777740.8000000003,48514,26355,114340
787065,2079945.6,18185,26509,64251
262778,813686.4,,5449,601
524924,2342860.8000000003,7025,44040,21504
262781,1518316.8,40294,12772,7955
524929,672172.8,18812,7828,6612
787074,2298758.4,8473,15205,91962
787075,2067052.8,11187,39655,989
524935,396355.2,3487,262,15227
262791,2324102.4,,26138,19460
524943,1226083.2,11031,10373,27659
787088,434515.2,9304,10196,3577
262803,386275.2,2653,3019,14246
524953,2566646.4000000004,23135,32388,8054
787102,400588.80000000005,13719,3570,5814
524959,1449456.0,24828,11015,30031
262819,2844441.6,48511,19585,69448
787111,1259347.2000000002,41848,1123,17960
524968,1600646.4000000001,1556,23663,38658
262826,1464086.4000000001,25678,20363,16142
524971,2098492.8000000003,4055,13102,34474
787118,1169491.2,44642,11809,41037
787121,669052.8,35016,3008,5420
262834,2138832.0,,43269,6437
787123,2518732.8000000003,28743,19135,83211
262847,1992432.0,,39764,81415
787142,394243.2,,1771,8278
524999,1773628.8,34118,15675,22199
787145,657619.2000000001,28099,11914,3162
262860,1344547.2000000002,,3701,28626
525006,2046710.4000000001,17546,16206,74137
787158,1169433.6,18809,12947,9095
262874,484156.80000000005,13832,9466,17574
262876,1570819.2000000002,13842,13397,52235
525021,1256083.2,30256,10128,17436
262881,2053824.0,32800,29366,8727
787176,1638758.4000000001,16294,22282,30333
525033,507283.2,32831,5759,2117
525032,2601216.0,,29378,102255
262893,277488.0,7347,2683,5152
525038,2564121.6,35133,16015,52746
525037,254006.40000000002,24175,4976,4485
262896,373286.4,2801,6397,2058
262897,1492569.6,35961,30095,10692
525047,2600928.0,5626,60981,97512
262904,2717692.8000000003,,29309,10054
787191,521596.80000000005,,5384,2670
787194,816316.8,26204,16915,25659
787195,1350844.8,43137,7144,45483
262910,2583446.4000000004,20842,64393,9245
525066,202348.80000000002,4481,3748,222
525071,1861584.0,,8413,9639
525078,1651507.2000000002,1918,38092,58248
262940,1540454.4000000001,31974,33321,11356
525089,1867612.8,15325,74,1163
262945,1006502.4,17720,4769,35546
262947,698467.2000000001,47495,14073,8892
525102,2695593.6,25777,8968,84759
787247,1474492.8,40739,35543,23258
525104,2290752.0,16233,32502,31648
262965,2470790.4,,39000,7006
525112,1975027.2000000002,20622,43560,70006
787256,1762905.6,25959,7844,73323
787261,1452950.4000000001,8109,27259,13648
525122,1483958.4000000001,3210,14626,27499
262983,1847155.2000000002,11666,7212,30385
262986,1026374.4,40175,4928,18247
787275,1490131.2000000002,29364,31177,43479
787276,1472275.2000000002,39400,31530,39415
525136,2229936.0,38615,42959,17616
787283,377040.0,,2270,6354
525141,2408428.8000000003,31066,42440,13732
787286,2791996.8000000003,42608,17610,55986
263008,974073.6000000001,20874,4797,23174
263009,1102051.2,24967,7146,36697
787299,1230624.0,11899,28540,44132
525156,2838086.4000000004,49686,36251,89471
787301,928684.8,39069,10341,12523
263018,1177142.4000000001,743,10264,47800
787307,2729980.8000000003,46389,52040,94378
525168,176390.40000000002,30132,2524,5686
263031,1249987.2,2490,7892,51095
525177,1102243.2,32137,20476,5435
263036,685852.8,14168,14747,17868
787326,1052889.6,21664,22386,6080
263047,1940707.2000000002,18248,43647,18378
525197,1826284.8,32309,27573,49432
263054,711849.6000000001,6524,10431,22847
263055,2105568.0,5261,23372,80129
263057,684969.6000000001,20799,459,18402
787352,925670.4,,22431,10271
263064,489446.4,,12196,17616
525211,1246272.0,28451,11117,9266
263074,2440896.0,10930,53980,8505
525224,1831315.2000000002,24463,37890,15017
263081,720086.4,11208,5565,5251
525227,2009596.8,30260,4963,80725
263086,1626345.6,22577,28186,66737
263088,248553.6,,1249,8434
787377,2033145.6,,46992,42062
263097,435273.60000000003,35907,8883,4805
787385,2077305.6,26053,30117,17441
787393,2734588.8000000003,13811,54093,17004
525250,2761401.6,49954,1112,100372
787397,1192147.2,19944,16477,11440
525259,1971916.8,11737,5291,81170
525268,660172.8,30798,5634,1559
263125,2063328.0,28910,29117,50455
787412,431145.60000000003,43792,4526,11186
525274,804259.2000000001,11969,7981,5916
263139,850377.6000000001,30675,3467,18983
525288,65683.2,18092,993,214
787439,2727888.0,44517,52763,64416
525298,1458403.2000000002,1706,32710,59031
263160,2718537.6,19959,38836,101520
263162,1225286.4000000001,,28983,756
525308,884390.4,20944,13424,8500
525309,2162860.8000000003,19132,21921,85300
787452,2017584.0,25410,23409,29543
787455,1546953.6,32510,19585,22766
263164,1854355.2000000002,27806,28559,792
787461,280060.8,27137,4235,1454
263174,2356656.0,12047,48530,50664
263173,1814169.6,31034,17792,64949
263175,264364.8,45350,5270,902
787466,1539523.2000000002,1756,10037,19077
787475,1747555.2000000002,22341,17312,51264
525331,2273097.6,18631,3101,72878
787477,814272.0,34732,7086,31558
263202,257568.0,,3644,5625
787491,1988678.4000000001,32778,42770,63644
787493,2657539.2,29198,31453,7451
787494,919641.6000000001,41346,22409,10809
525351,625718.4,,151,507
263207,148185.6,16112,155,2251
787506,1600080.0,9988,32492,20861
263221,1858713.6,,30755,15255
263222,545721.6,6900,10302,4438
525367,637920.0,11845,6354,24221
787514,1760966.4000000001,12939,15989,9942
787517,2566012.8000000003,31019,33242,51103
787537,408144.0,,9139,16334
525395,1540252.8,23219,25647,12409
525396,2163849.6,,4898,78554
787542,2507904.0,31880,18386,20138
787543,2123923.2,38283,43336,76503
263257,1664409.6,8841,24164,68515
263265,1574601.6,20355,13952,20691
525409,1638681.6,44405,1722,7998
263266,791452.8,48361,5411,18880
525413,429571.2,32148,4017,8621
263272,1086835.2,44174,12752,15796
787564,2667168.0,43656,33507,61750
525421,582921.6,29570,4424,19964
525430,873648.0,,9894,31448
263287,2649120.0,35127,12969,65108
525431,582835.2000000001,3213,13199,3750
263289,2047065.6,15229,6785,3118
263290,539904.0,27003,10667,16363
525434,1904284.8,3413,21995,73139
787581,668332.8,28297,5102,18335
263296,989731.2000000001,39897,19198,20205
263297,41251.200000000004,,989,154
787586,1620124.8,4794,11863,61205
525443,2373705.6,30271,13062,50222
525459,2865484.8000000003,41079,1044,54120
263316,2309251.2,35168,36219,40087
263322,1803532.8,30452,29514,41827
787621,2349523.2,46703,35877,25670
787624,2513174.4,30843,1269,95995
525483,251798.40000000002,24948,3835,5520
787629,1233436.8,20258,19109,16381
263341,1991683.2000000002,24084,35417,30458
525493,546278.4,41450,10289,21752
263355,1105132.8,32517,14045,21298
787645,1191590.4000000001,20117,8741,39590
787652,2306860.8000000003,,21618,93051
525508,519446.4,28160,202,15989
263370,968995.2000000001,26138,22012,16161
263372,61065.600000000006,23768,700,1513
263373,1750752.0,9850,15490,63991
787664,1925337.6,49336,834,36963
787672,2290684.8000000003,34463,41334,60528
525529,1282675.2000000002,11465,27519,51544
263385,2360889.6,19518,19404,46766
787675,148953.6,48897,2115,3051
787677,2342217.6,30506,28313,91406
525540,1043712.0,5114,5076,5662
787685,951657.6000000001,25722,18834,19047
525544,1160563.2,29017,11237,45126
787688,155203.2,13106,2397,1930
787695,988752.0,3122,338,25271
525557,2222140.8000000003,,2033,37292
525558,2303328.0,35664,21376,64401
787703,1437264.0,14119,10774,43118
525562,938976.0,7914,1982,14802
787709,2735328.0,15603,53647,8452
263422,1793241.6,10866,33156,34189
263426,366662.4,12783,4845,1067
525570,453830.4,16441,9345,1792
263428,2493072.0,25151,59379,4781
787723,1158086.4000000001,31757,11294,43026
525579,770035.2000000001,39740,6808,26256
525580,388752.0,38888,3029,12775
525582,98928.0,5266,1753,2775
787732,334243.2,14850,2375,11287
263447,2298710.4,8378,38319,29738
787738,1493232.0,45159,29665,16484
525596,1032211.2000000001,6419,19009,18472
263456,259305.6,22271,2526,6688
787749,667593.6000000001,3982,11926,9615
525606,2805638.4000000004,28596,12673,60643
525611,2762976.0,,21228,36687
787756,1009017.6000000001,34245,14055,26199
263470,1396348.8,42153,4258,5436
525621,1863110.4000000001,45281,40120,74105
263478,1098633.6,10374,18401,12540
525622,940896.0,20674,17085,10207
263482,1755081.6,42998,42797,26700
525631,2387500.8000000003,42954,58234,31447
525632,142195.2,24989,1743,3199
263493,1183267.2,,21437,2644
787787,2259129.6,2882,37010,23335
787791,1583376.0,36434,8000,42582
525651,2402592.0,11344,53222,72793
787797,1357516.8,,30355,43231
525654,2549894.4000000004,30267,23292,14304
525655,1607884.8,47526,4708,62929
787799,915100.8,10932,12128,9437
525658,1620412.8,,4321,37809
787804,1626489.6,8214,11069,65114
525661,2695180.8000000003,,42172,105771
525662,2445667.2,5636,1448,25430
263525,1916985.6,,43926,14463
263526,249321.6,17424,1171,2846
787815,2558630.4000000004,20652,6399,44811
525672,2730595.2,41631,59045,90895
525671,2448988.8000000003,23218,21996,96948
787818,2415417.6,22246,55693,45679
263540,1022361.6000000001,22946,17505,26781
525684,963571.2000000001,8641,4904,22137
263543,2820211.2,,33495,101830
263547,54720.0,33187,336,181
525693,828144.0,29186,4739,13250
263562,582422.4,17819,7198,21816
525716,2706076.8000000003,5090,1622,88377
263574,1325376.0,21548,27735,26973
787862,2238691.2,26998,50869,64476
525722,1802035.2000000002,2311,30220,23131
787876,761568.0,17271,2969,3287
525733,606441.6,7082,3020,23300
525734,348854.4,9179,7808,12990
525737,2465692.8000000003,43495,14124,57030
263594,2502825.6,25095,39838,79936
787888,1042176.0,1749,18541,7199
525747,2110128.0,8450,30312,84826
263605,129753.6,741,1774,4007
525749,1873651.2000000002,23396,41929,26011
787906,191971.2,2687,1246,1251
787910,179836.80000000002,26391,4475,3439
787913,2437142.4,5613,11607,6879
263626,386601.60000000003,44040,9148,7300
525773,176553.6,,1986,75
263636,2137881.6,9069,12433,62993
787933,557625.6,9269,1594,11277
263646,484137.60000000003,44297,3908,6606
263645,1438934.4000000001,12180,35268,36590
525789,987715.2000000001,24475,15099,8011
263653,570163.2000000001,9345,5918,13930
787946,1465084.8,36507,26083,3256
525805,229430.40000000002,3522,2631,3394
263664,600288.0,,6254,18892
787958,1551638.4000000001,8914,9860,50512
525815,1875024.0,25382,18389,48816
525816,601142.4,42000,6133,5511
525817,449568.0,17008,9863,2584
787962,823142.4,15683,14060,15763
787959,1187798.4000000001,24295,6214,29111
263680,2658480.0,44005,64623,79167
263681,2778278.4000000004,34048,40501,102581
525831,1510780.8,35373,19478,15649
525832,103036.8,36289,872,180
263694,2048208.0,19301,23063,51880
787986,1053523.2,1772,4892,12238
525843,2300784.0,46364,52705,68668
263703,2272838.4,25201,48502,73567
525847,1872182.4000000001,39595,35440,6510
525849,1881830.4000000001,525,8448,25492
263705,2250057.6,41088,55048,7485
525851,793046.4,25409,17254,6606
263710,2853216.0,15372,38705,66433
788000,1404720.0,3459,32760,52282
263719,2626176.0,49310,31021,90108
525866,919699.2000000001,15854,12335,11471
788014,740486.4,27316,6980,18010
788017,425577.60000000003,46457,2562,11408
525880,2574739.2,43662,14592,94278
525881,671875.2000000001,9737,9506,13648
525882,2622144.0,17411,28620,76280
525885,2732764.8000000003,9482,8926,2108
263743,2813616.0,35243,38260,103319
525891,901756.8,995,12348,26217
788044,2653420.8000000003,2100,40602,40528
525906,847939.2000000001,32648,926,16748
788058,214838.40000000002,49813,5341,1339
263770,2203478.4,43512,9947,23249
525922,1897305.6,40270,44467,16916
788067,2376076.8000000003,16212,45978,78221
525925,460156.80000000005,16370,8829,4542
263785,2227392.0,43872,10598,22966
788074,1909027.2000000002,40969,29479,41691
788075,2575900.8000000003,2732,35265,48929
788077,2337340.8000000003,32511,43736,66497
788078,2308560.0,26168,54995,46790
525935,1253059.2,16714,23949,27780
788080,2461872.0,,37390,13879
263795,435561.60000000003,,6409,11479
263796,1009017.6000000001,48802,11890,9230
788089,1052707.2,37505,24061,26187
525945,953001.6000000001,17729,1250,14013
788091,999628.8,47112,6145,29482
263807,1984492.8,2847,48419,22331
788097,1172592.0,,26647,6699
263811,2158176.0,22605,47895,48944
788103,2492515.2,14021,55094,80727
788108,1957209.6,25632,10214,36309
263822,1682419.2000000002,20882,34879,69242
263830,2877196.8000000003,1902,20305,92712
788119,2521296.0,2680,10518,12337
525983,1834761.6,,31203,20808
788129,2508604.8000000003,13380,45074,22457
525986,252672.0,10980,6196,6520
525988,135868.80000000002,18236,993,3763
788134,1300924.8,4772,12107,35950
788137,1004889.6000000001,41286,9375,11282
525995,2402035.2,41183,55155,14070
263860,2589753.6,1739,59875,83364
788149,371030.4,45576,4752,12223
263864,1888608.0,27048,41544,54715
263870,678124.8,5779,11388,21820
263871,1314240.0,34699,21338,34177
526015,197664.0,22222,2902,3466
526014,445948.80000000005,40869,6472,12690
263872,1177660.8,46255,17576,23774
788161,50880.0,42764,134,1357
263877,1716998.4000000001,13930,8298,17267
526026,216412.80000000002,29780,4728,3303
788179,765379.2000000001,,1592,25993
263896,2424652.8000000003,16321,52888,58064
526042,2110435.2,49040,39083,12283
263899,528000.0,22060,2955,6610
788200,1186828.8,10703,17791,18464
263913,583200.0,971,8157,11251
788205,994108.8,11174,3776,3695
263917,1554115.2000000002,7802,7328,37180
263918,2070105.6,44012,4895,30511
526063,607353.6,18477,4604,10435
788217,2008550.4000000001,41537,48323,69710
263933,2128300.8000000003,32727,2965,70937
526079,2573961.6,18456,26805,91560
788232,2413814.4,44312,38830,91942
526092,432144.0,13239,9271,17477
263949,2501078.4,4561,37844,100115
788237,1802121.6,24199,27195,31563
788240,571276.8,29200,5615,6576
263953,687792.0,4362,14411,8992
526099,353241.60000000003,13511,8008,11712
788243,2420966.4,46777,11033,46716
526100,1014019.2000000001,9847,18054,8417
526102,2678361.6,,53682,4951
263959,2254156.8000000003,1681,11724,36837
263960,125491.20000000001,39300,2145,5
788256,2375414.4,43943,52738,41776
263969,345964.80000000005,47333,8041,13933
788259,2368934.4,32406,49747,30664
526115,1027017.6000000001,37937,20604,36196
263974,1810905.6,7664,29317,61523
263975,2403705.6,42222,48597,70746
526119,1601932.8,47911,29761,23358
526121,1276185.6,40012,652,16753
788278,258672.0,16288,3794,4508
526135,772512.0,30584,13366,30954
263997,2341094.4,19396,10160,9482
788285,723340.8,6203,11620,1836
526143,85420.8,46440,1335,2327
788291,2710588.8000000003,45273,51119,45465
264008,2867030.4000000004,17346,43046,22740
526155,275932.8,47735,4087,1933
526158,2582025.6,44139,37604,50846
788303,540374.4,13755,3393,3535
264015,409920.0,39979,2274,325
264017,1229952.0,26557,20890,8272
788312,2450160.0,45207,17275,30571
788315,2787168.0,13381,58063,81394
264028,1619308.8,8302,27547,38028
526176,1075737.6,,17021,9781
788321,563740.8,26700,8346,2114
526181,599078.4,35447,8453,24060
788328,565862.4,2165,4274,21897
788333,2620934.4000000004,22155,3514,79884
788338,2613849.6,28899,26684,51761
788342,138681.6,28119,1040,1545
264059,843715.2000000001,44364,1822,30419
788350,2849385.6,10641,22341,61885
264065,2700278.4000000004,14741,27738,86869
526218,2742278.4000000004,2202,53080,103570
788363,1430966.4000000001,34981,32317,41239
264077,1331568.0,15344,16290,24497
788366,1285536.0,,10355,32208
788371,1670793.6,689,41418,383
788374,2663164.8000000003,,62015,99471
264095,915292.8,23409,22686,4889
264101,2821305.6,41121,21082,86874
788391,872275.2000000001,19375,13456,2253
526251,1215840.0,21435,17569,40617
526252,2334393.6,38368,45779,1563
788399,235804.80000000002,20507,1412,6922
526267,759753.6000000001,3726,4148,21831
264125,115680.0,48852,2040,3264
526269,94416.0,39696,41,1031
264129,1393603.2000000002,12769,13446,28509
526277,2642236.8000000003,31240,56775,84337
526278,1994227.2000000002,11415,15925,15124
264133,1122451.2,30697,11507,38351
264144,1320412.8,7337,19103,53695
788434,742176.0,1815,1135,3224
526296,2850460.8000000003,22265,8375,8218
526299,1803312.0,23766,12915,40138
526304,1438032.0,1860,30209,58629
264160,1694774.4000000001,18709,29492,15145
264164,2607398.4000000004,4432,26075,17772
264166,843273.6000000001,4723,1687,29131
526310,1727452.8,42841,38317,5419
264168,1896700.8,16443,21018,58387
788461,2459068.8000000003,43418,50523,61658
264174,93580.8,17876,202,1706
526322,2825606.4000000004,3068,64149,23606
788466,2553158.4000000004,709,21331,36214
526323,957715.2000000001,46039,14702,20028
264179,1856841.6,36348,9573,46471
526332,1082784.0,21210,14880,22372
526333,2569161.6,40831,35136,1167
788483,2475158.4,34402,36244,13295
526340,2511225.6,42323,16638,67911
526342,1841193.6,31766,626,42016
526345,2612899.2,41364,59611,70188
788490,1629321.6,41380,19654,65625
788493,1070112.0,37855,11070,16221
264209,117811.20000000001,22798,2261,3941
264212,1189900.8,32328,28789,30633
788502,601459.2000000001,16500,2959,6010
264216,2443209.6,25380,19252,50557
264219,621840.0,10632,3606,17361
526368,2031244.8,9988,37963,70470
264227,2634950.4000000004,10535,2037,77540
264236,672441.6000000001,29759,1588,4717
788525,1733539.2000000002,43058,23663,60462
788535,708528.0,18729,4062,10169
526396,2229820.8000000003,46005,33603,12244
788541,587299.2000000001,47741,2776,3501
788544,211190.40000000002,,374,3814
526400,1696934.4000000001,44223,39305,4388
526411,165004.80000000002,3529,540,6297
788562,1079424.0,19382,24727,13180
264277,690979.2000000001,16246,13723,19250
788566,1636972.8,19479,30256,51148
788571,1837180.8,2715,25732,1924
264289,2695228.8000000003,2641,56517,89419
264292,2392444.8000000003,15240,54255,45170
264293,401385.60000000003,41347,8252,15924
264296,1780886.4000000001,17462,34309,53786
788590,2007283.2000000002,7711,38313,26661
788592,1904400.0,23644,8544,48685
526451,1859126.4000000001,13545,36719,36750
788599,991411.2000000001,29117,17269,28930
264320,2825884.8000000003,39660,57089,4163
264324,793795.2000000001,24400,1751,30780
264326,2712432.0,33599,20833,52948
526470,1209696.0,,19286,48810
526472,2879308.8000000003,12178,15540,92380
264330,2821785.6,8065,837,114502
788621,1738080.0,44447,40780,50993
788624,2602070.4000000004,46970,50572,98186
788625,480576.0,41496,4326,599
526487,2468169.6,11564,47580,6694
788633,2024860.8,31119,49702,37043
526489,2210582.4,40894,37288,54677
526491,2835734.4000000004,3737,36631,45360
788636,2663145.6,12535,21898,25531
264348,1889750.4000000001,34426,45720,39003
788638,340915.2,31281,2152,8877
526494,1165142.4000000001,6774,19087,18704
526496,1503321.6,49492,4201,301
264356,656457.6000000001,28763,8836,560
788649,2396467.2,25972,23240,14259
526508,1469971.2000000002,20882,6117,600
526512,1961251.2000000002,41268,40715,47955
788656,577075.2000000001,,12239,20094
788665,134688.0,16220,2630,3926
526527,2423990.4,23618,15675,75006
526530,1072665.6,35415,2132,40460
526531,2664537.6,,46349,44610
264388,2397312.0,42073,13554,16366
526533,2642985.6,41531,50625,29862
526536,2835619.2,5202,16005,26105
526537,1172793.6,49933,10274,45075
788683,846201.6000000001,14980,19940,27868
264397,1684732.8,34039,27485,22802
264400,2773910.4000000004,2156,51192,18551
526544,2620790.4000000004,33476,26612,86445
526546,232070.40000000002,12184,3423,8950
526555,2262691.2,46759,17130,74617
788701,632505.6000000001,45583,299,8024
526559,2271436.8000000003,45237,43508,81642
264416,1644758.4000000001,22157,4670,16584
788705,2333760.0,6222,39547,96026
526562,1195737.6,11941,27052,40611
788707,2165760.0,929,40786,32949
788710,1672944.0,41395,12645,11722
526567,874032.0,21386,7850,13647
264424,1238803.2,17026,14845,200
526569,2364604.8000000003,47931,34309,88429
526570,437049.60000000003,13203,8516,10362
526573,956352.0,17179,15526,14062
526574,766358.4,33586,1962,23823
264430,947232.0,45784,23602,23307
264433,926217.6000000001,19033,20864,31155
788732,2349744.0,47620,23057,57512
788734,2395382.4,28459,47864,45962
264447,961084.8,20940,6166,23829
788741,1333104.0,17321,19298,197
264459,1886342.4000000001,25581,41157,3287
526606,853680.0,,14469,17536
264465,1469856.0,3677,2189,37923
264466,223814.40000000002,32057,2590,5870
264469,2381059.2,20023,52997,83649
526614,347347.2,7603,1767,11180
526618,1091136.0,,305,41532
526625,2666236.8000000003,10597,65429,33735
526626,2528841.6,32303,40338,16431
788771,1293648.0,24781,328,17208
788773,1521321.6,8505,18613,25353
526630,128908.8,6522,3184,4144
788779,1362326.4000000001,33749,25435,7392
264509,2570332.8000000003,43065,49540,6084
264514,764755.2000000001,36262,2304,22564
